year,mu,s,week,fitted_cdf,year_group
1999,17.550566308908664,0.5529471323010038,21,0.9980505766320085,Other
2000,18.12095130340071,0.47397641129073054,21,0.9977039004044707,Other
2006,17.23807444335008,0.6440647953481751,21,0.9971022294453896,Other
1988,17.326824069178695,0.636183026192589,21,0.9969016187633271,Other
1985,17.461869371428108,0.6416841736675388,21,0.9959854979252704,Other
2007,18.12642902028725,0.5690248741527212,21,0.9936314329511973,Other
1997,17.467770373014034,0.7893501202363457,21,0.9887364716116823,Other
1991,18.53136866815894,0.5593398868847537,21,0.9880319297028283,Other
1987,18.331379908949984,0.6163061628700899,21,0.9870038832748207,Other
2012,16.78877955420752,0.9900779361651335,21,0.9859837593861049,Other
1993,18.6252594997513,0.5741017416492514,21,0.9842717781243074,Other
2010,16.6390782236277,1.0721649415065384,21,0.9831663458335649,Other
1994,17.471323506363426,0.9127694501581843,21,0.9794856145035562,Other
1986,18.447153325224846,0.6898973000028762,21,0.9758807130187065,Other
1980,18.62132385647612,0.6433192980254367,21,0.9758141577237102,Other
2005,16.541631311628272,1.2109928083645276,21,0.9754354939443336,Other
1979,18.75976007155734,0.6116147500995176,21,0.974982122969851,Other
1992,19.1450992809687,0.517837359071354,21,0.9729333725742695,Other
1990,17.851895029727196,1.0565709543451416,21,0.9516416222909593,Other
2013,19.252739332071425,0.6680876749555522,21,0.931840837037269,Other
2015,19.051423306698773,0.7531476674842027,21,0.930036091668684,Other
2004,18.24932551046021,1.1659938474108666,21,0.9136533700574735,Other
2018,19.11968047659817,0.9543178740683612,21,0.8776463724632465,2018
2021,19.016865825313612,1.0627491634643094,21,0.8659995956083822,Other
2017,18.525382173135974,1.528833163592439,21,0.8346063384460553,Other
1998,20.208173071789812,0.6310092174435861,21,0.7781396612998054,Other
2016,19.383594976591883,1.2951375381933548,21,0.7769632775403251,Other
1995,19.483719479113137,1.237528484154592,21,0.7729859541734735,Other
2008,19.51236278632033,1.351842174817684,21,0.7503447579223705,Other
2009,20.140740323295397,0.8033354421916045,21,0.7445237015061719,Other
2014,19.913683005379703,1.0955557141637242,21,0.729397341396709,Other
2022,20.012923021399583,1.0097496888443964,21,0.7266210589871939,Other
2020,19.99935456745787,1.1554081864958052,21,0.7039238736437039,Other
1983,19.955213158039424,1.3627927890379434,21,0.6827960545051954,Other
1984,20.32815839383654,0.9724513135827503,21,0.6661613876187327,Other
2002,21.14873274918691,1.1294270492763459,21,0.46712532718976113,Other
1981,21.647102462008604,1.624256797100034,21,0.4016970316617265,Other
1996,21.538531553531655,0.9399802383341086,21,0.3605637955312409,Other
1989,22.04114077726732,1.6542699420372284,21,0.34765437495525875,Other
2011,21.758945599078544,0.5427990900587114,21,0.1981007549190375,Other
2019,22.95846774999589,1.3544246560089428,21,0.19062138516613938,2019
2003,17.50002707329803,0.35719505789524125,22,0.9999966215252608,Other
2001,17.65648669532134,0.3637777391716925,22,0.9999934760206508,Other
1982,17.164317134528158,0.5182813754478109,22,0.9999113057649655,Other
2000,18.12095130340071,0.47397641129073054,22,0.9997210096458543,Other
1999,17.550566308908664,0.5529471323010038,22,0.9996799654430015,Other
2006,17.23807444335008,0.6440647953481751,22,0.9993851704403589,Other
1988,17.326824069178695,0.636183026192589,22,0.999355020597971,Other
1985,17.461869371428108,0.6416841736675388,22,0.9991523700547584,Other
2007,18.12642902028725,0.5690248741527212,22,0.9988956399412438,Other
